"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtFreischaltung[1]/AntragsID[1]";"AntragsID"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[*]/Nutzdaten[1]/SpezRechtFreischaltung[1]/Freischaltcode[1]";"Freischaltcode"
