"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Schuldner[1]/Email[1]";"Schuldner_Email"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Bezeichnung[1]";"Berater_Bezeichnung"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Name[1]";"Berater_Name"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Vorname[1]";"Berater_Vorname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Namensvorsatz[1]";"Berater_Namensvorsatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Namenszusatz[1]";"Berater_Namenszusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Titel[1]";"Berater_Titel"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Str[1]";"Berater_Str"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Hausnummer[1]";"Berater_Hausnummer"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/HNrZusatz[1]";"Berater_HNrZusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Anschriftenzusatz[1]";"Berater_Anschriftenzusatz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Ort[1]";"Berater_Ort"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/PLZ[1]";"Berater_PLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/AuslandsPLZ[1]";"Berater_AuslandsPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Land[1]";"Berater_Land"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/PostfachOrt[1]";"Berater_PostfachOrt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Postfach[1]";"Berater_Postfach"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/PostfachPLZ[1]";"Berater_PostfachPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/GKPLZ[1]";"Berater_GKPLZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Telefon[1]";"Berater_Telefon"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Berater[1]/Email[1]";"Berater_Email"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/BuStNr[1]";"BuStNr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/AnmZtr[1]";"AnmZtr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/BVM[1]";"BVM"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/BArt[1]";"BArt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/ArPlNr[1]";"ArPlNr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/StNrVorh[1]";"StNrVorh"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/WID[1]";"WID"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEZSt[1]";"KapEZSt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEZStSt[1]";"KapEZStSt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEZStSz[1]";"KapEZStSz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEDiv[1]";"KapEDiv"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEDivSt[1]";"KapEDivSt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEDivSz[1]";"KapEDivSz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch25[1]";"KapESch25"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch25St[1]";"KapESch25St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch25Sz[1]";"KapESch25Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch15[1]";"KapESch15"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch15St[1]";"KapESch15St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESch15Sz[1]";"KapESch15Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapWertSchSt[1]";"KapWertSchSt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapWertSchSz[1]";"KapWertSchSz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESchErst44b6S1bis3St[1]";"KapESchErst44b6S1bis3St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapESchErst44b6S1bis3Sz[1]";"KapESchErst44b6S1bis3Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiEv[1]";"KiEv"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiRK[1]";"KiRK"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiAk[1]";"KiAk"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiIsRBad[1]";"KiIsRBad"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiIsRWue[1]";"KiIsRWue"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KuIsBay[1]";"KuIsBay"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KuJHH[1]";"KuJHH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KuIsF[1]";"KuIsF"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KuIsHE[1]";"KuIsHE"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KuJNW[1]";"KuJNW"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KuJKOKH[1]";"KuJKOKH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KuIsSaar[1]";"KuIsSaar"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiFrLBad[1]";"KiFrLBad"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiFrGOF[1]";"KiFrGOF"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiFRAZ[1]";"KiFRAZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiFrGMZ[1]";"KiFrGMZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KiFrLPfalz[1]";"KiFrLPfalz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/KSum[1]";"KSum"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZBB[1]";"ZBB"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZBE[1]";"ZBE"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZHB[1]";"ZHB"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZBW[1]";"ZBW"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZBY[1]";"ZBY"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZHH[1]";"ZHH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZHE[1]";"ZHE"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZMV[1]";"ZMV"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZND[1]";"ZND"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZNW[1]";"ZNW"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZRP[1]";"ZRP"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZST[1]";"ZST"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZSH[1]";"ZSH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZSL[1]";"ZSL"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZSN[1]";"ZSN"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZTH[1]";"ZTH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZoZ[1]";"ZoZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZSum[1]";"ZSum"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZBW[1]";"DivZBW"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZBY[1]";"DivZBY"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZBE[1]";"DivZBE"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZBB[1]";"DivZBB"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZHB[1]";"DivZHB"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZHH[1]";"DivZHH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZHE[1]";"DivZHE"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZMV[1]";"DivZMV"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZND[1]";"DivZND"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZNW[1]";"DivZNW"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZRP[1]";"DivZRP"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZSL[1]";"DivZSL"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZSN[1]";"DivZSN"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZST[1]";"DivZST"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZSH[1]";"DivZSH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZTH[1]";"DivZTH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZSum[1]";"DivZSum"
